,season,round,circuit_id,lat,long,country,date,url
0,1991,1,phoenix,33.4479,-112.075,USA,1991-03-10,http://en.wikipedia.org/wiki/1991_United_States_Grand_Prix
1,1991,2,interlagos,-23.7036,-46.6997,Brazil,1991-03-24,http://en.wikipedia.org/wiki/1991_Brazilian_Grand_Prix
2,1991,3,imola,44.3439,11.7167,Italy,1991-04-28,http://en.wikipedia.org/wiki/1991_San_Marino_Grand_Prix
3,1991,4,monaco,43.7347,7.42056,Monaco,1991-05-12,http://en.wikipedia.org/wiki/1991_Monaco_Grand_Prix
4,1991,5,villeneuve,45.5,-73.5228,Canada,1991-06-02,http://en.wikipedia.org/wiki/1991_Canadian_Grand_Prix
5,1991,6,rodriguez,19.4042,-99.0907,Mexico,1991-06-16,http://en.wikipedia.org/wiki/1991_Mexican_Grand_Prix
6,1991,7,magny_cours,46.8642,3.16361,France,1991-07-07,http://en.wikipedia.org/wiki/1991_French_Grand_Prix
7,1991,8,silverstone,52.0786,-1.01694,UK,1991-07-14,http://en.wikipedia.org/wiki/1991_British_Grand_Prix
8,1991,9,hockenheimring,49.3278,8.56583,Germany,1991-07-28,http://en.wikipedia.org/wiki/1991_German_Grand_Prix
9,1991,10,hungaroring,47.5789,19.2486,Hungary,1991-08-11,http://en.wikipedia.org/wiki/1991_Hungarian_Grand_Prix
10,1991,11,spa,50.4372,5.97139,Belgium,1991-08-25,http://en.wikipedia.org/wiki/1991_Belgian_Grand_Prix
11,1991,12,monza,45.6156,9.28111,Italy,1991-09-08,http://en.wikipedia.org/wiki/1991_Italian_Grand_Prix
12,1991,13,estoril,38.7506,-9.39417,Portugal,1991-09-22,http://en.wikipedia.org/wiki/1991_Portuguese_Grand_Prix
13,1991,14,catalunya,41.57,2.26111,Spain,1991-09-29,http://en.wikipedia.org/wiki/1991_Spanish_Grand_Prix
14,1991,15,suzuka,34.8431,136.541,Japan,1991-10-20,http://en.wikipedia.org/wiki/1991_Japanese_Grand_Prix
15,1991,16,adelaide,-34.9272,138.617,Australia,1991-11-03,http://en.wikipedia.org/wiki/1991_Australian_Grand_Prix
16,1992,1,kyalami,-25.9894,28.0767,South Africa,1992-03-01,http://en.wikipedia.org/wiki/1992_South_African_Grand_Prix
17,1992,2,rodriguez,19.4042,-99.0907,Mexico,1992-03-22,http://en.wikipedia.org/wiki/1992_Mexican_Grand_Prix
18,1992,3,interlagos,-23.7036,-46.6997,Brazil,1992-04-05,http://en.wikipedia.org/wiki/1992_Brazilian_Grand_Prix
19,1992,4,catalunya,41.57,2.26111,Spain,1992-05-03,http://en.wikipedia.org/wiki/1992_Spanish_Grand_Prix
20,1992,5,imola,44.3439,11.7167,Italy,1992-05-17,http://en.wikipedia.org/wiki/1992_San_Marino_Grand_Prix
21,1992,6,monaco,43.7347,7.42056,Monaco,1992-05-31,http://en.wikipedia.org/wiki/1992_Monaco_Grand_Prix
22,1992,7,villeneuve,45.5,-73.5228,Canada,1992-06-14,http://en.wikipedia.org/wiki/1992_Canadian_Grand_Prix
23,1992,8,magny_cours,46.8642,3.16361,France,1992-07-05,http://en.wikipedia.org/wiki/1992_French_Grand_Prix
24,1992,9,silverstone,52.0786,-1.01694,UK,1992-07-12,http://en.wikipedia.org/wiki/1992_British_Grand_Prix
25,1992,10,hockenheimring,49.3278,8.56583,Germany,1992-07-26,http://en.wikipedia.org/wiki/1992_German_Grand_Prix
26,1992,11,hungaroring,47.5789,19.2486,Hungary,1992-08-16,http://en.wikipedia.org/wiki/1992_Hungarian_Grand_Prix
27,1992,12,spa,50.4372,5.97139,Belgium,1992-08-30,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix
28,1992,13,monza,45.6156,9.28111,Italy,1992-09-13,http://en.wikipedia.org/wiki/1992_Italian_Grand_Prix
29,1992,14,estoril,38.7506,-9.39417,Portugal,1992-09-27,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix
30,1992,15,suzuka,34.8431,136.541,Japan,1992-10-25,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix
31,1992,16,adelaide,-34.9272,138.617,Australia,1992-11-08,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix
32,1993,1,kyalami,-25.9894,28.0767,South Africa,1993-03-14,http://en.wikipedia.org/wiki/1993_South_African_Grand_Prix
33,1993,2,interlagos,-23.7036,-46.6997,Brazil,1993-03-28,http://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix
34,1993,3,donington,52.8306,-1.37528,UK,1993-04-11,http://en.wikipedia.org/wiki/1993_European_Grand_Prix
35,1993,4,imola,44.3439,11.7167,Italy,1993-04-25,http://en.wikipedia.org/wiki/1993_San_Marino_Grand_Prix
36,1993,5,catalunya,41.57,2.26111,Spain,1993-05-09,http://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix
37,1993,6,monaco,43.7347,7.42056,Monaco,1993-05-23,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix
38,1993,7,villeneuve,45.5,-73.5228,Canada,1993-06-13,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix
39,1993,8,magny_cours,46.8642,3.16361,France,1993-07-04,http://en.wikipedia.org/wiki/1993_French_Grand_Prix
40,1993,9,silverstone,52.0786,-1.01694,UK,1993-07-11,http://en.wikipedia.org/wiki/1993_British_Grand_Prix
41,1993,10,hockenheimring,49.3278,8.56583,Germany,1993-07-25,http://en.wikipedia.org/wiki/1993_German_Grand_Prix
42,1993,11,hungaroring,47.5789,19.2486,Hungary,1993-08-15,http://en.wikipedia.org/wiki/1993_Hungarian_Grand_Prix
43,1993,12,spa,50.4372,5.97139,Belgium,1993-08-29,http://en.wikipedia.org/wiki/1993_Belgian_Grand_Prix
44,1993,13,monza,45.6156,9.28111,Italy,1993-09-12,http://en.wikipedia.org/wiki/1993_Italian_Grand_Prix
45,1993,14,estoril,38.7506,-9.39417,Portugal,1993-09-26,http://en.wikipedia.org/wiki/1993_Portuguese_Grand_Prix
46,1993,15,suzuka,34.8431,136.541,Japan,1993-10-24,http://en.wikipedia.org/wiki/1993_Japanese_Grand_Prix
47,1993,16,adelaide,-34.9272,138.617,Australia,1993-11-07,http://en.wikipedia.org/wiki/1993_Australian_Grand_Prix
48,1994,1,interlagos,-23.7036,-46.6997,Brazil,1994-03-27,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix
49,1994,2,okayama,34.915,134.221,Japan,1994-04-17,http://en.wikipedia.org/wiki/1994_Pacific_Grand_Prix
50,1994,3,imola,44.3439,11.7167,Italy,1994-05-01,http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix
51,1994,4,monaco,43.7347,7.42056,Monaco,1994-05-15,http://en.wikipedia.org/wiki/1994_Monaco_Grand_Prix
52,1994,5,catalunya,41.57,2.26111,Spain,1994-05-29,http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix
53,1994,6,villeneuve,45.5,-73.5228,Canada,1994-06-12,http://en.wikipedia.org/wiki/1994_Canadian_Grand_Prix
54,1994,7,magny_cours,46.8642,3.16361,France,1994-07-03,http://en.wikipedia.org/wiki/1994_French_Grand_Prix
55,1994,8,silverstone,52.0786,-1.01694,UK,1994-07-10,http://en.wikipedia.org/wiki/1994_British_Grand_Prix
56,1994,9,hockenheimring,49.3278,8.56583,Germany,1994-07-31,http://en.wikipedia.org/wiki/1994_German_Grand_Prix
57,1994,10,hungaroring,47.5789,19.2486,Hungary,1994-08-14,http://en.wikipedia.org/wiki/1994_Hungarian_Grand_Prix
58,1994,11,spa,50.4372,5.97139,Belgium,1994-08-28,http://en.wikipedia.org/wiki/1994_Belgian_Grand_Prix
59,1994,12,monza,45.6156,9.28111,Italy,1994-09-11,http://en.wikipedia.org/wiki/1994_Italian_Grand_Prix
60,1994,13,estoril,38.7506,-9.39417,Portugal,1994-09-25,http://en.wikipedia.org/wiki/1994_Portuguese_Grand_Prix
61,1994,14,jerez,36.7083,-6.03417,Spain,1994-10-16,http://en.wikipedia.org/wiki/1994_European_Grand_Prix
62,1994,15,suzuka,34.8431,136.541,Japan,1994-11-06,http://en.wikipedia.org/wiki/1994_Japanese_Grand_Prix
63,1994,16,adelaide,-34.9272,138.617,Australia,1994-11-13,http://en.wikipedia.org/wiki/1994_Australian_Grand_Prix
64,1995,1,interlagos,-23.7036,-46.6997,Brazil,1995-03-26,http://en.wikipedia.org/wiki/1995_Brazilian_Grand_Prix
65,1995,2,galvez,-34.6943,-58.4593,Argentina,1995-04-09,http://en.wikipedia.org/wiki/1995_Argentine_Grand_Prix
66,1995,3,imola,44.3439,11.7167,Italy,1995-04-30,http://en.wikipedia.org/wiki/1995_San_Marino_Grand_Prix
67,1995,4,catalunya,41.57,2.26111,Spain,1995-05-14,http://en.wikipedia.org/wiki/1995_Spanish_Grand_Prix
68,1995,5,monaco,43.7347,7.42056,Monaco,1995-05-28,http://en.wikipedia.org/wiki/1995_Monaco_Grand_Prix
69,1995,6,villeneuve,45.5,-73.5228,Canada,1995-06-11,http://en.wikipedia.org/wiki/1995_Canadian_Grand_Prix
